# Thu Feb  1 22:20:53 2024

# input dimensionality
5

# covariance function
CovSum(CovSEard, CovNoise)

# log-hyperparameter
8.593285806 8.49076127 0.459242575 8.593285806 8.49076127 3.250971483 -12.64472638 

# mean for input values
261676.8333 261668.5 261660.1667 261651.8333 261643.5 
# std_dev for input values
418.574333 418.5676966 418.574333 418.574333 418.5676966 

# mean and std_dev for target values
2.976431239 0.1733064148

# data (target value in first column)
0.9133850546 0.8055120444 0.8063211822 0.8071047523 0.8055120444 0.8063211822 
0.8513484834 0.8270136016 0.8254339806 0.8262172477 0.8270136016 0.8254339806 
0.7875065513 0.846126097 0.8469358788 0.845329743 0.846126097 0.8469358788 
0.7137245179 0.8652385924 0.8660486772 0.8668313003 0.8652385924 0.8660486772 
0.6465822976 0.8867401497 0.8851614756 0.8859437957 0.8867401497 0.8851614756 
0.5781504892 0.905852645 0.9066633738 0.9050562911 0.905852645 0.9066633738 
0.499838984 0.9249651404 0.9257761722 0.9265578484 0.9249651404 0.9257761722 
0.4292417314 0.9464666977 0.9448889706 0.9456703437 0.9464666977 0.9448889706 
0.3579075122 0.9655791931 0.9663908688 0.9647828391 0.9655791931 0.9663908688 
0.2769935882 0.9846916884 0.9855036672 0.9862843964 0.9846916884 0.9855036672 
0.2046825271 1.006193246 1.004616466 1.005396892 1.006193246 1.004616466 
0.1321985982 1.025305741 1.026118364 1.024509387 1.025305741 1.026118364 
0.05067546331 1.044418236 1.045231162 1.046010944 1.044418236 1.045231162 
-0.02156948914 1.065919794 1.064343961 1.06512344 1.065919794 1.064343961 
-0.09341620097 1.085032289 1.085845859 1.084235935 1.085032289 1.085845859 
-0.1735333553 1.104144784 1.104958657 1.105737492 1.104144784 1.104958657 
-0.2439394359 1.125646342 1.124071456 1.124849988 1.125646342 1.124071456 
-0.3133790291 1.144758837 1.145573354 1.143962483 1.144758837 1.145573354 
-0.3901339502 1.163871333 1.164686152 1.16546404 1.163871333 1.164686152 
-0.4569556637 1.18537289 1.183798951 1.184576536 1.18537289 1.183798951 
-0.5222791514 1.204485385 1.205300849 1.203689031 1.204485385 1.205300849 
-0.593773017 1.223597881 1.224413647 1.225190588 1.223597881 1.224413647 
-0.6553715126 1.245099438 1.243526446 1.244303084 1.245099438 1.243526446 
-0.7149707657 1.264211933 1.265028344 1.263415579 1.264211933 1.265028344 
-0.779443015 1.283324429 1.284141142 1.284917136 1.283324429 1.284141142 
-0.8343016547 1.304825986 1.30325394 1.304029632 1.304825986 1.30325394 
-0.8867087452 1.323938481 1.324755839 1.323142127 1.323938481 1.324755839 
-0.9425729447 1.343050977 1.343868637 1.344643685 1.343050977 1.343868637 
-0.9893768773 1.364552534 1.362981435 1.36375618 1.364552534 1.362981435 
-1.033264702 1.383665029 1.384483334 1.382868675 1.383665029 1.384483334 
-1.079144073 1.402777525 1.403596132 1.404370233 1.402777525 1.403596132 
-1.116668596 1.424279082 1.42270893 1.423482728 1.424279082 1.42270893 
-1.151029197 1.443391577 1.444210829 1.442595223 1.443391577 1.444210829 
-1.185794394 1.462504073 1.463323627 1.464096781 1.462504073 1.463323627 
-1.213152664 1.48400563 1.482436425 1.483209276 1.48400563 1.482436425 
-1.237102837 1.503118125 1.503938324 1.502321771 1.503118125 1.503938324 
-1.259897872 1.522230621 1.523051122 1.523823329 1.522230621 1.523051122 
-1.276415642 1.543732178 1.54216392 1.542935824 1.543732178 1.54216392 
-1.289365898 1.562844673 1.563665819 1.562048319 1.562844673 1.563665819 
-1.299629584 1.581957169 1.582778617 1.583549877 1.581957169 1.582778617 
-1.304900643 1.603458726 1.601891415 1.602662372 1.603458726 1.601891415 
-1.306531984 1.622571221 1.623393314 1.621774867 1.622571221 1.623393314 
-1.304011678 1.641683717 1.642506112 1.643276425 1.641683717 1.642506112 
-1.297906119 1.663185274 1.66161891 1.66238892 1.663185274 1.66161891 
-1.288178408 1.682297769 1.683120809 1.681501415 1.682297769 1.683120809 
-1.27293585 1.701410265 1.702233607 1.703002973 1.701410265 1.702233607 
-1.255603918 1.722911822 1.721346405 1.722115468 1.722911822 1.721346405 
