# Fri Feb  2 07:29:19 2024

# input dimensionality
5

# covariance function
CovSum(CovSEard, CovNoise)

# log-hyperparameter
10.42486196 10.32673936 0.2102683593 10.42486196 10.32673936 1.800608972 -12.73618968 

# mean for input values
4159.166667 4150.833333 4142.5 4134.166667 4125.833333 
# std_dev for input values
418.574333 418.574333 418.5676966 418.574333 418.574333 

# mean and std_dev for target values
2.945893586 0.1713906258

# data (target value in first column)
0.856119935 -0.4280402608 -0.4272439069 -0.428843414 -0.4280402608 -0.4272439069 
0.9318268895 -0.4089277655 -0.4081314115 -0.4073415158 -0.4089277655 -0.4081314115 
0.9974786409 -0.3874262082 -0.3890189161 -0.3882287174 -0.3874262082 -0.3890189161 
1.061411708 -0.3683137128 -0.3675173588 -0.369115919 -0.3683137128 -0.3675173588 
1.131070209 -0.3492012174 -0.3484048635 -0.3476140208 -0.3492012174 -0.3484048635 
1.190802986 -0.3276996602 -0.3292923681 -0.3285012224 -0.3276996602 -0.3292923681 
1.248338091 -0.3085871648 -0.3077908108 -0.309388424 -0.3085871648 -0.3077908108 
1.310235065 -0.2894746694 -0.2886783155 -0.2878865258 -0.2894746694 -0.2886783155 
1.36259075 -0.2679731121 -0.2695658201 -0.2687737274 -0.2679731121 -0.2695658201 
1.412304808 -0.2488606168 -0.2480642628 -0.249660929 -0.2488606168 -0.2480642628 
1.464911434 -0.2297481214 -0.2289517674 -0.2281590308 -0.2297481214 -0.2289517674 
1.508594966 -0.2082465641 -0.2098392721 -0.2090462324 -0.2082465641 -0.2098392721 
1.549265142 -0.1891340687 -0.1883377148 -0.189933434 -0.1891340687 -0.1883377148 
1.591286621 -0.1700215734 -0.1692252194 -0.1684315358 -0.1700215734 -0.1692252194 
1.625225655 -0.1485200161 -0.150112724 -0.1493187375 -0.1485200161 -0.150112724 
1.655850006 -0.1294075207 -0.1286111667 -0.1302059391 -0.1294075207 -0.1286111667 
1.686256258 -0.1102950254 -0.1094986714 -0.1087040409 -0.1102950254 -0.1094986714 
1.709608547 -0.08879346806 -0.09038617601 -0.08959124247 -0.08879346806 -0.09038617601 
1.729439771 -0.0696809727 -0.06888461872 -0.07047844408 -0.0696809727 -0.06888461872 
1.747478865 -0.05056847733 -0.04977212335 -0.04897654588 -0.05056847733 -0.04977212335 
1.759672273 -0.02906692004 -0.03065962799 -0.02986374749 -0.02906692004 -0.03065962799 
1.768218128 -0.009954424671 -0.009158070697 -0.0107509491 -0.009954424671 -0.009158070697 
1.773445782 0.009158070697 0.009954424671 0.0107509491 0.009158070697 0.009954424671 
1.774180256 0.03065962799 0.02906692004 0.02986374749 0.03065962799 0.02906692004 
1.771230558 0.04977212335 0.05056847733 0.04897654588 0.04977212335 0.05056847733 
1.763517807 0.06888461872 0.0696809727 0.07047844408 0.06888461872 0.0696809727 
1.752775259 0.09038617601 0.08879346806 0.08959124247 0.09038617601 0.08879346806 
1.73840264 0.1094986714 0.1102950254 0.1087040409 0.1094986714 0.1102950254 
1.717939644 0.1286111667 0.1294075207 0.1302059391 0.1286111667 0.1294075207 
1.695984839 0.150112724 0.1485200161 0.1493187375 0.150112724 0.1485200161 
1.670539959 0.1692252194 0.1700215734 0.1684315358 0.1692252194 0.1700215734 
1.637830199 0.1883377148 0.1891340687 0.189933434 0.1883377148 0.1891340687 
1.605206602 0.2098392721 0.2082465641 0.2090462324 0.2098392721 0.2082465641 
1.569322148 0.2289517674 0.2297481214 0.2281590308 0.2289517674 0.2297481214 
1.525167884 0.2480642628 0.2488606168 0.249660929 0.2480642628 0.2488606168 
1.482676737 0.2695658201 0.2679731121 0.2687737274 0.2695658201 0.2679731121 
1.437233273 0.2886783155 0.2894746694 0.2878865258 0.2886783155 0.2894746694 
1.382728177 0.3077908108 0.3085871648 0.309388424 0.3077908108 0.3085871648 
1.331411965 0.3292923681 0.3276996602 0.3285012224 0.3292923681 0.3276996602 
1.277528125 0.3484048635 0.3492012174 0.3476140208 0.3484048635 0.3492012174 
1.214011438 0.3675173588 0.3683137128 0.369115919 0.3675173588 0.3683137128 
1.155135298 0.3890189161 0.3874262082 0.3882287174 0.3890189161 0.3874262082 
1.094138836 0.4081314115 0.4089277655 0.4073415158 0.4081314115 0.4089277655 
1.023174994 0.4272439069 0.4280402608 0.428843414 0.4272439069 0.4280402608 
0.9581890684 0.4487454642 0.4471527562 0.4479562124 0.4487454642 0.4471527562 
0.8915831017 0.4678579595 0.4686543135 0.4670690108 0.4678579595 0.4686543135 
0.814918004 0.4869704549 0.4877668089 0.4885709089 0.4869704549 0.4877668089 
0.7454172933 0.5084720122 0.5068793042 0.5076837073 0.5084720122 0.5068793042 
0.6748441803 0.5275845075 0.5283808615 0.5267965057 0.5275845075 0.5283808615 
0.5943662807 0.5466970029 0.5474933569 0.5482984039 0.5466970029 0.5474933569 
0.5220762239 0.5681985602 0.5666058523 0.5674112023 0.5681985602 0.5666058523 
0.4492630949 0.5873110556 0.5881074095 0.5865240007 0.5873110556 0.5881074095 
0.366956464 0.6064235509 0.6072199049 0.6080258989 0.6064235509 0.6072199049 
0.2936461273 0.6279251082 0.6263324003 0.6271386973 0.6279251082 0.6263324003 
0.2203925696 0.6470376036 0.6478339576 0.6462514957 0.6470376036 0.6478339576 
0.138273275 0.666150099 0.6669464529 0.6677533939 0.666150099 0.6669464529 
0.06575238413 0.6876516563 0.6860589483 0.6868661923 0.6876516563 0.6860589483 
-0.006137568526 0.7067641516 0.7075605056 0.7059789907 0.7067641516 0.7075605056 
-0.08603151641 0.725876647 0.726673001 0.7274808889 0.725876647 0.726673001 
-0.155972603 0.7473782043 0.7457854963 0.7465936873 0.7473782043 0.7457854963 
